股票代碼,股票名稱
1314,中石化
1409,新纖
1504,東元
1528,恩德
1605,華新
1609,大亞
1711,永光
1717,長興
1718,中纖
1727,中華化
1802,台玻
2002,中鋼
2014,中鴻
2027,大成鋼
2312,金寶
2316,楠梓電
2317,鴻海
2328,廣宇
2330,台積電
2344,華邦電
2367,燿華
2368,金像電
2371,大同
2374,佳能
2402,毅嘉
2406,國碩
2409,友達
2421,建準
2464,盟立
2481,強茂
2498,宏達電
2606,裕民
2645,長榮航太
2883,凱基金
3013,晟銘電
3037,欣興
3059,華晶科
3167,大量
3189,景碩
3305,昇貿
3481,群創
3535,晶彩科
3645,達邁
3706,神達
3714,富采
3715,定穎投控
4526,東台
4916,事欣科
4927,泰鼎-KY
4958,臻鼎-KY
4977,眾達-KY
5608,四維航
6213,聯茂
6558,興能高
6672,騰輝電子-KY
6770,力積電
8021,尖點
8039,台虹
8046,南電
8222,寶一
